acid,epoxide,tg,std
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2ccc(OCC3CC3)nc2)cc1,O=C(CC1CC(c2ccccc2)C1)NCc1cccc(OCC2CO2)c1OCC1CO1,413.8176,21.4134
Cc1cc(CNCC(C(=O)O)c2ccccc2)ccc1C(=O)O,O=C(OCCCCCCOCC1CO1)c1cccc(COCC2CO2)c1,399.766,8.555
CCc1cc(C)nc(NCCNC(=O)C(CCC(=O)O)CCC(=O)O)n1,NCC(=O)NCC(=O)NCc1cccc(OCC2CO2)c1OCC1CO1,384.9536,12.2324
CN(CCC(=O)O)c1nnc(COCCC(=O)O)n1Cc1ccccc1,CC(C)(NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1)C(=O)Nc1ccccc1,399.7099,25.6555
CC(=O)Nc1cnn(CC(=O)N(CCC(=O)O)CCC(=O)O)c1,Cc1cc(C(C)(C)C)ccc1OCCCC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,441.0555,23.6494
O=C(O)CCC(CCC(=O)O)C(=O)NCc1ccnc(OCc2ccccc2)c1,CONC(=O)C1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,444.7539,16.7388
O=C(O)CCC(CCC(=O)O)C(=O)NCCNCC(=O)NCCC1CCCCC1,Cc1ccc(OCC2CO2)cc1NC(=O)CC(O)CC(=O)Nc1cc(OCC2CO2)ccc1C,405.721,7.2967
CCNC(=O)CN(C)C(=O)C(CCC(=O)O)CCC(=O)O,CN1CCN(CC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1=O,429.1154,16.1935
O=C(O)CC1CCCN(C(=O)Cc2ccccc2C(=O)O)CC1,COc1cc(OC)cc(OCCCNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,427.2148,39.2552
CC(=O)Nc1cccc(C(=O)O)c1C(=O)O,COc1cccc(C(=O)NCc2cc(C)cnc2OCC2CO2)c1OCC1CO1,491.0408,38.9541
O=C(O)COCCN(CCOCC(=O)O)CCC1CCCCCC1,O=C(Nc1ccccc1)Nc1cccc(CNC(=O)N(CC2CO2)CC2CO2)c1,416.0441,40.7228
